POP_0~19,POP_20~34,POP_35~64,POP_65,POPDensity,HHD_Ratio,TAX,NUM_FB,APT_Ratio,Year,Jongno,Jung,Yongsan,Seongdong,Gwangjin,Dongdaemun,Jungnang,Seongbuk,Gangbuk,Dobong,Nowon,Eunpyeong,Seodaemun,Mapo,Yangcheon,Gangseo,Guro,Geumcheon,Yeongdeungpo,Dongjak,Gwanak,Seocho,Gangnam,Songpa,Gangdong,MWSPP
16858.00000 ,38920.00000 ,65911.00000 ,28764.00000 ,6292.00000 ,0.52351 ,1121354.00000 ,9686.00000 ,0.34662 ,2023.00000 ,1.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.70487 
17672.00000 ,39054.00000 ,67527.00000 ,27958.00000 ,6365.00000 ,0.51955 ,1260463.00000 ,9645.00000 ,0.34016 ,2022.00000 ,1.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.70899 
18229.00000 ,38180.00000 ,69562.00000 ,27818.00000 ,6431.00000 ,0.51510 ,1174502.00000 ,9428.00000 ,0.33646 ,2021.00000 ,1.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.68786 
19517.00000 ,38884.00000 ,72088.00000 ,28507.00000 ,6649.00000 ,0.51137 ,974064.00000 ,9460.00000 ,0.33479 ,2020.00000 ,1.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.72334 
21277.00000 ,39559.00000 ,73514.00000 ,27519.00000 ,6769.00000 ,0.49652 ,930913.00000 ,9440.00000 ,0.32924 ,2019.00000 ,1.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.79892 
22179.00000 ,39439.00000 ,74666.00000 ,26742.00000 ,6817.00000 ,0.48840 ,881612.00000 ,9427.00000 ,0.31774 ,2018.00000 ,1.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.85076 
23236.00000 ,39505.00000 ,75334.00000 ,26182.00000 ,6869.00000 ,0.48291 ,773576.00000 ,9194.00000 ,0.31684 ,2017.00000 ,1.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.97971 
23690.00000 ,38406.00000 ,74735.00000 ,25091.00000 ,6771.00000 ,0.48113 ,694353.00000 ,7936.00000 ,0.28613 ,2016.00000 ,1.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,1.18841 
24651.00000 ,38865.00000 ,75414.00000 ,24892.00000 ,6851.00000 ,0.47535 ,709795.00000 ,8743.00000 ,0.28822 ,2015.00000 ,1.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.82351 
25676.00000 ,38958.00000 ,76173.00000 ,24537.00000 ,6914.00000 ,0.47120 ,614415.00000 ,8672.00000 ,0.28633 ,2014.00000 ,1.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.00000 ,0.91723 
